CODEBUCH,,,,,,
,,,,,,
,,,,,,
Wert,Kommentar,,,,,
edgelist,,,,,,
from id,von id,,,,,
to id,zu id,,,,,
,,,,,,
,,,,,,
,,,,,,
nodelist,,,,,,
id,ID der Person oder Organisation,,,,,
name,Name der Person oder der Organisation,,,,,
type,"Person, Organisation oder Gremium (1= Person, 2= Organisation)",,,,,
sex,"definiert das Geschlecht der Person (1= männlich, 2= weiblich)",,,,,
age,"definiert das Alter der Person (1= unter 40 Jahre, 2= zwischen 40 und 50 Jahre, 3= zwischen 50 und 60 Jahre, 4= zwischen 60 und 70 Jahre, 5= zwischen 70 und 80 Jahre)",,,,,
agfunctional,"definiert die Zugehörigkeit in den Gremien der AG (3= Vorstand, 4 = Aufsichtsrat, 5 = Gremien des Vereins)",,,,,
vfunctional,"definiert die Zugehörigkeit in den Gremien des Vereins (1= Präsidium, 2= Vereinsbeirat, 5= Ehrenpräsident)",,,,,
representation,"definiert den aktuellen Zuständigkeitsbereich (1= Sport, 2= Kommunikation, 3= Wirtschaft, 4= Wissenschaft)",,,,,
position,"definiert das aktuelle Amt der Person (1= Vorsitzender, 2= Stellvertreter, 3= einfaches Mitglied)",,,,,
influence,"definiert auf welcher Seite der/die Akteur/in steht (1= Team Hitzlsperger, 2= Team Vogt, 3= nicht zuordenbar)",,,,,
status,"definiert die aktuelle Beschäftigung in den Strukturen des VfB Stuttgart (1= aktiv, 2= nicht mehr beschäftigt, 3= Posten im Gespräch)",,,,,
,,,,,,
Datensammlung,,,,,,
,,,,,,
Zählzeichen,Akteure,,VfB-Element,,Organisation,
,Thomas Hitzelsperger,,Vorstand (Vorsitzender),,Vfb,Ab hier Personen
,,,,,Ard,
,,,,,Bayrischerrundfunk,
,,,,,Nachwuchsleistungszentrum,
,,,,,Deutscherfusballbund,
,Oliver Schaft,,Vorstand,,Vfb,
,,,,,Clubmedien,
,Tobias Keller,,Vorstand,,Vfb,
,Claus Vogt,,Aufsichtsrat (Vorsitzender),,Vfb,
,,,,,Intesia,
,,,,,Fcplayfair,
,Wilfried Porth,,Aufsichtsrat (Stellvertreter),,Vfb,
,,,,,Daimler,
,Rainer Adrion,,Aufsichtsrat,,Vfb,
,,,,,Deutscherfussballbund,
,Hartmut Jenner,,Aufsichtsrat (Stellvertreter),,Vfb,
,,,,,Kaercher,
,,,,,Alfredkaercherfoerderstiftung,
,Franz Reiner,,Aufsichtsrat,,Vfb,
,,,,,Daimlermobility,
,Bertram Sugg,,Aufsichtsrat,,Vfb,
,,,,,Bosch,
,Vfbstuttgart,,,,Deutscherfussballbund,
,,,,,Daimler,
,Ard,,,,,Organisationen auserhalb Vfb
,Bayrischerrundfunk,,,,,
,Nachwuchsleistungszentrum,,,,,
,Clubmedien,,,,,
,Intesia,,,,,
,Fcplayfair,,,,,
,Daimler,,,,,
,Deutscherfussballbund,,,,,
,Kaercher,,,,,
,Alfredkaercherfoerderstiftung,,,,,
,Daimlermobility,,,,,
,Bosch,,,,,
