from,to,,,,,,,,,,,
Hit,VfB,,,,,,,,,,,
Hit,VST,,,,,,,,,,,
Hit,ARD,,,,,,,,,,,
Hit,BR,,,,,,,,,,,
Hit,NLZ,,,,,,,,,,,
Hit,DFB,,,,,,,,,,,
Hit,DAF,,,,,,,,,,,Ergänzung/ Vorschläge Dani
Röt,,,,,,,,,,,,welche Verbindung/ noch korrekt?
Hei,,,,,,,,,,,,
Scr,VfB,,,,,,,,,,,
Scr,KCM,,,,,,,,,,,
Kel,VfB,,,,,,,,,,,
Kel,VST,,,,,,,,,,,
Vog,VfB,,,,,,,,,,,
Vog,PRÄ,,,,,,,,,,,
Vog,AUR,,,,,,,,,,,
Vog,INT,,,,,,,,,,,
Vog,FCP,,,,,,,,,,,
Por,VfB,,,,,,,,,,,
Por,AUR,,,,,,,,,,,
Por,DAI,,,,,,,,,,,
Adr,VfB,,,,,,,,,,,
Adr,PRÄ,,,,,,,,,,,
Adr,AUR,,,,,,,,,,,
Adr,DFB,,,,,,,,,,,
Jen,VfB,,,,,,,,,,,
Jen,AUR,,,,,,,,,,,
Jen,KÄR,,,,,,,,,,,
Jen,KFS,,,,,,,,,,,
Rei,VfB,,,,,,,,,,,
Rei,AUR,,,,,,,,,,,
Rei,DM,,,,,,,,,,,
Sug,VfB,,,,,,,,,,,
Sug,AUR,,,,,,,,,,,
Sug,RB,,,,,,,,,,,
Ohl,VfB,,,,,,,,,,,
Ohl,,,,,,,,,,,,
Wen,VfB,,,,,,,,,,,
Wen,VBR,,,,,,,,,,,
Bül,VfB,,,,,,,,,,,
Bül,VBR,,,,,,,,,,,
Bül,FCP,,,,,,,,,,,
Mör,VfB,,,,,,,,,,,
Mör,VBR,,,,,,,,,,,
See,VfB,,,,,,,,,,,
See,VBR,,,,,,,,,,,
Erh,VfB,,,,,,,,,,,
Erh,VBR,,,,,,,,,,,
Scl,VfB,,,,,,,,,,,
Scl,VBR,,,,,,,,,,,
Mut,,,,,,,,,,,,
Gai,,,,,,,,,,,,
Mai,,,,,,,,,,,,
Gög,,,,,,,,,,,,
Bür,,,,,,,,,,,,
Sta,,,,,,,,,,,,
Özd,VfB,,,,,,,,,,,
Özd,FCP,,,,,,,,,,,
Özd,GRÜ,,,,,,,,,,,
Rie,VfB,,,,,,,,,,,
Rie,OSB,,,,,,,,,,,
VfB,DFB,,,,,,,,,,,
VfB,DAI,,,,,,,,,,,
VfB,V,,,,,,,,,,,
VfB,AG,,,,,,,,,,,
V,PRÄ,,,,,,,,,,,
V,VBR,,,,,,,,,,,
AG,VST,,,,,,,,,,,
AG,AUR,,,,,,,,,,,
ARD,VfB,,,,,,,,,,,
BR,VfB,,,,,,,,,,,
NLZ,DFB,? das NLZ vom VfB ist doch gemeint oder?,,,,,,,,,,
KCM,VfB,,,,,,,,,,,
INT,FCP,,,,,,,,,,,
FCP,VfB,,,,,,,,,,,
DM,DAI,,,,,,,,,,,
DFB,ARD,,,,,,,,,,,
KÄR,VfB,,,,,,,,,,,
KÄR,KFS,,,,,,,,,,,
KFS,VfB,,,,,,,,,,,
DM,VfB,,,,,,,,,,,
RB,VfB,,,,,,,,,,,
KCM,DFL,,,,,,,,,,,
